1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,17,18,,,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55.0,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141
ReachName,Basin,Assessment.Unit,Spring.Chinook.Reach,Steelhead.Reach,Bull.Trout.Reach,ReviewComments,Reach.Assessment.Data,Level.2.Survey.Data,Year.Data.Collection,Level.2.Survey.Data.Date,Data.Gap,Length..miles.,Length..meters.,Column1,Column2,Shape__Length,Reach_Name_UCSRB,Column6,Column3,Data_Source,Reach_ID_in_assessment,River,Reach_Name_UCSRB3,Single_or_Multiple_Reaches,Reach_start_river_miles,Reach_end_river_miles,ID,Data.Name.,Main_Channel_Barriers_1_CATEGORY,Main_Channel_Barriers_1_CATEGORY_NUMERIC,Main_Channel_Barriers_1_NOTES,Dominant_Substrate_CATEGORY_1,Dominant_Substrate_CATEGORY_1_NUMERIC,Sand_occular_prcnt_INDICATOR_1,Gravel_occular_prcnt_INDICATOR_2,Cobble_occular_prcnt_INDICATOR_3,Boulder_occular_prcnt_INDICATOR_4,Bedrock_occular_prcnt_INDICATOR_5,Gravel_and_Cobble_occular_prcnt_INDICATOR_6,Clay_Silt_Sand_occular_prcnt_INDICATOR_7,Sand_sieve_prcnt_INDICATOR_8,Gravel_sieve_prcnt_INDICATOR_9,Cobble_sieve_prcnt_INDICATOR_10,Boulder_sieve_prcnt_INDICATOR_11,Bedrock_sieve_prcnt_INDICATOR_12,D50_sieve_size_prcnt_finer_mm_INDICATOR_13,Silt_pebble_count_PRCNT_INDICATOR_14,Sand_pebble_count_PRCNT_INDICATOR_15,Gravel_pebble_count_PRCNT_INDICATOR_16,Cobble_pebble_count_PRCNT_INDICATOR_17,Boulder_pebble_count_PRCNT_INDICATOR_18,Bedrock_pebble_count_PRCNT_INDICATOR_19,Gravel_and_Cobble_pebble_count_PRCNT_INDICATOR_20,Boulder_UCSRB_pct,GravelCobble_ UCSRB_pct,Dominant_Substrate_NOTES,Pieces_per_mile_CATEGORY_1,Pieces_per_mile_CATEGORY_1_NUMERIC,Pieces_per_mile_INDICATOR_1,Small_pieces_per_mile_INDICATOR_2,Medium_pieces_per_mile_INDICATOR_3,Large_pieces_per_mile_INDICATOR_4,Overstory_mature_tree_prcnt_INDICATOR_5,Pieces_per_mile_NOTES_1,Pools_CATEGORY_1,Pools_CATEGORY_1_NUMERIC,Pools_total_INDICATOR_1,Pools_per_mile_INDICATOR_2,Pools_deeper_3_ft_prcnt_INDICATOR_3,Pools_deeper_3_ft_per_mile_INDICATOR_4,Pools_deeper_5_ft_per_mile_INDICATOR_5,Pools_pool_depth_ft_INDICATOR_6,Pool_NOTES_1,Connectivity_CATEGORY_1,Connectivity_CATEGORY_1_NUMERIC,Entrenchment_CATEGORY_2,Entrenchment_CATEGORY_2_NUMERIC,Connectivity_total_SC_INDICATOR_1,Off_channel_habitat_prcnt_INDICATOR_2,Main_channel_prcnt_INDICATOR_3,Connectivity_fast_water_INDICATOR_4,Side_channel_fast_prcnt_INDICATOR_5,Connectivity_slow_water_INDICATOR_6,Side_channel_slow_prcnt_INDICATOR_7,Connectivity_cover_INDICATOR_8,Channel_Confinementor_or_Entrenchment_Ratio_INDICATOR_9,Channel_Bankfull_Width_to_Depth_Ratio_INDICATOR_10,Connectivity_NOTES_1,Structure_CATEGORY_1,Structure_CATEGORY_1_NUMERIC,Structure_mature_tree_prcnt_INDICATOR_1,Structure_large_tree_prcnt_INDICATOR_2,Structure_small_tree_prcnt_INDICATOR_3,Structure_small_tree_or_smaller_prcnt_INDICATOR_4,Structure_sapling_pole_prcnt_INDICATOR_5,Structure_shrub_seedling_prcnt_INDICATOR_6,Structure_tall_grass_short_Shrub_prcnt_INDICATOR_7,Structure_grass_prcnt_INDICATOR_8,Structure_orchard_prcnt_INDICATOR_9,Structure_bare_ground_prcnt_INDICATOR_10,Structure_NOTES_1,Disturbance_CATEGORY_1,Disturbance_CATEGORY_1_NUMERIC,Disturbance_prcnt_INDICATOR_1,Disturbance_roads_miles_per_sq_miles_INDICATOR_2,Disturbance_NOTES_1,Canopy_Cover_CATEGORY_1,Canopy_Cover_CATEGORY_1_NUMERIC,Canopy_Cover_REI_prcnt_INDICATOR_1,Canopy_Cover_0_25_prcnt_INDICATOR_2,Canopy_Cover_26_50_prcnt_INDICATOR_3,Canopy_Cover_51_75_prcnt_INDICATOR_4,Canopy_Cover_76_100_prcnt_INDICATOR_5,Canopy_Cover_NOTES_1,Floodplain_Connectivity_CATEGORY_1,Floodplain_Connectivity_CATEGORY_1_NUMERIC,Floodplain_Connectivity_NOTES_1,Bank_Stability_CATEGORY_1,Bank_Stability_CATEGORY_1_NUMERIC,Bank_Stability_NOTES_1,Vertical_Channel_Stability_CATEGORY_1,Vertical_Channel_Stability_CATEGORY_1_NUMERIC,Vertical_Channel_Stability_NOTES_1,Flow_305bList,RAWatershed_Rating_Flow,PROSER,NORWEST_Temperature,Contaminants_303d,Canopy_Cover_NORWEST,Undercut_Area_Pct_CHAMP,SubEstBldr_CHAMP,SubEstSandFines_CHAMP,LWFreq_Bf_CHAMP,SC_Area_Pct_Average_CHAMP,FishCovNone_Average_CHAMP,GRVL_COBL_UCSRB_CHAMP,SubEmbed_Avg_Average_CHAMP,305bListings_Temperature,RAWatershed_Rating_Temp ,WDFW_TempData
Aeneas Creek 01,Okanogan,Aeneas Creek Okanogan,no,yes,no,,no,no,,,no,0.277308871,446.2862601,,,674.568337,Aeneas Creek 01,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,17,NA,3,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,NA,NA,
Aeneas Creek 02,Okanogan,Aeneas Creek Okanogan,no,yes,no,,no,no,,,no,0.325000612,523.0388307,,,790.4505894,Aeneas Creek 02,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,17,NA,5,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,NA,NA,
Alder Creek 01,Wenatchee,Lower Chiwawa River,yes,yes,no,,no,yes,2015,,no,0.779554311,1254.573562,,,1869.887624,Alder Creek 01,,,Upper Wenatchee Pilot Project Level 2 Surveys,Alder R52,Alder Creek,Alder Creek 01,single,0,0.8,14,NA,At Risk,NA,2 Possible Barriers,Adequate,NA,19.2,47.9,27.8,5.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,75.7,NA,Unacceptable,NA,10,NA,NA,NA,NA,NA,At Risk,NA,NA,54,NA,0,NA,NA,NA,NA,NA,At Risk,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.457,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1 Road Density REI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,12,NA,81,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,4A,NA,
Alder Creek 02,Wenatchee,Lower Chiwawa River,no,yes,no,,no,no,2015,,yes,1.388637641,2234.800126,,,3334.309848,Alder Creek 02,,,Upper Wenatchee Pilot Project Level 2 Surveys,"Alder RAlder Creek Reach 2 2015, Alder R19",NA,NA,NA,NA,NA,NA,NA,At Risk,NA,NA,Adequate,NA,20.25,40.05,29.2,6.45,4.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,69.3,NA,Unacceptable,NA,2,NA,NA,NA,0,NA,Adequate,NA,NA,67,NA,0,NA,NA,NA,NA,NA,At Risk,NA,NA,NA,NA,NA,NA,NA,NA,1.66,19.4,NA,NA,Adequate,0,0,63,NA,38,NA,NA,NA,NA,NA,NA,NA,Unacceptable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,12,NA,77,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,NA,NA,
Methow River Fawn 02,Methow,Methow River-Fawn Creek,yes,yes,yes,,yes,no,2008,,no,0.910323026,1465.02583,,,2209.039891,Methow River Fawn 01,,,Big Valley Reach Assessment,Reach 2,Methow River,Methow River Fawn 01,single,55,56.6,113,NA,At Risk,NA,only point location REI data - copied the lowest categorical rank,Adequate,NA,5,35,60,0,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,1.5,50.0,45.5,3.0,NA,NA,3.0,95.5,only point location REI data - copied the lowest categorical rank,At Risk,NA,NA,NA,NA,NA,NA,NA,Adequate,NA,NA,NA,NA,NA,4.7,4.5,only point location REI data - copied the lowest categorical rank,At Risk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only point location REI data - copied the lowest categorical rank,Adequate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only point location REI data - copied the lowest categorical rank,Adequate,NA,NA,NA,only point location REI data - copied the lowest categorical rank,At Risk,NA,NA,NA,NA,NA,NA,only point location REI data - copied the lowest categorical rank,At Risk,NA,only point location REI data - copied the lowest categorical rank,At Risk,NA,only point location REI data - copied the lowest categorical rank,Adequate,NA,only point location REI data - copied the lowest categorical rank,NA,Adequate,5,14,NA,33,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,NA,Unacceptable,
Antoine Creek 01,Okanogan,Lower Antoine Creek,no,yes,no,,no,no,,,yes,0.894003819,1438.762559,,,2182.543754,Antoine Creek 01,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,16,pH,40,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,NA,NA,
Antoine Creek 02,Okanogan,Lower Antoine Creek,no,yes,no,,no,no,,,yes,0.553691373,891.0816707,,,1349.396539,Antoine Creek 02,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,16,pH,43,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,NA,NA,
Antoine Creek 03,Okanogan,Lower Antoine Creek,no,yes,no,,no,no,,,yes,1.107127178,1781.752045,,,2700.179472,Antoine Creek 03,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,16,pH,4,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,NA,NA,
Antoine Creek 04,Okanogan,Lower Antoine Creek,no,yes,no,,no,no,,,yes,0.934344151,1503.684161,,,2277.609115,Antoine Creek 04,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,16,NA,0,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,NA,NA,
