Assessment.Unit,ReachName,Basin,Spring.Chinook.Reach,Steelhead.Reach,AU Restoration Rank,AU Protection Rank,Large_Cobble_Riffle_Percent,Small_Cobble_Riffle_Percent,Pool_Tails_Percent,Scour_Pools_Percent
Aeneas Creek-DS,Aeneas 16-1,Okanogan,no,yes,2,2,40.2,12.1,0,3.4
Aeneas Creek-DS,Aeneas 16-2,Okanogan,no,yes,2,2,0.6,0,6.8,0
Antoine Creek-Lower,Antoine 16-1,Okanogan,no,yes,1,1,9.1,45.5,0,0
Antoine Creek-Lower,Antoine 16-2,Okanogan,no,yes,1,1,12.5,0,2.5,10
Antoine Creek-Lower,Antoine 16-3,Okanogan,no,yes,1,1,48.2,23.9,0,23.4
Antoine Creek-Lower,Antoine 16-4,Okanogan,no,yes,1,1,30,0,2,8
Antoine Creek-Lower,Antoine 16-5,Okanogan,no,yes,1,1,0,50,8,32
Antoine Creek-Lower,Antoine 16-6,Okanogan,no,yes,1,1,16.6,42.4,0.5,28.6
Bonaparte Creek-Lower DS,Bonaparte 16-1,Okanogan,no,yes,2,1,52.9,0,2.8,11
Chiliwist Creek,Chiliwist 16-1,Okanogan,no,yes,NA,NA,,,,
Johnson Creek,Johnson 16-1,Okanogan,no,yes,1,2,48.5,18.5,0,14.4
Johnson Creek,Johnson 16-2,Okanogan,no,no,1,2,58.6,18.3,0,16.4
Johnson Creek,Johnson 16-3,Okanogan,no,no,1,2,9.7,1.1,0,40
Johnson Creek,Johnson 16-4,Okanogan,no,no,1,2,0,0,0,0
Johnson Creek,Johnson 16-5,Okanogan,no,no,1,2,0,10,5,30
Johnson Creek,Johnson 16-6,Okanogan,no,no,1,2,0,10,5,20
Johnson Creek,Johnson 16-7,Okanogan,no,no,1,2,0,10,5,20
Johnson Creek,Johnson 16-8,Okanogan,no,no,1,2,0,10,5,20
Johnson Creek,Johnson 16-9,Okanogan,no,no,1,2,0,23.6,3.9,13.3
Loup Loup Creek-Lower DS,Loup Loup 16-1,Okanogan,no,yes,1,1,47.5,7.5,5,17.5
Loup Loup Creek-Lower DS,Loup Loup 16-2,Okanogan,no,yes,1,1,70,10,0,0
Loup Loup Creek-Lower DS,Loup Loup 16-3,Okanogan,no,yes,1,1,50.6,7.6,0,28.4
Ninemile Creek DS,Ninemile 16-1,Okanogan,no,yes,2,2,,,,
Ninemile Creek DS,Ninemile 16-2,Okanogan,no,yes,2,2,,,,
Ninemile Creek DS,Ninemile 16-3,Okanogan,no,yes,2,2,,,,
Ninemile Creek DS,Ninemile 16-4,Okanogan,no,yes,2,2,,,,
Ninemile Creek DS,Ninemile 16-5,Okanogan,no,yes,2,2,,,,
Okanogan-Haynes Creek North,Okanagan 16-48,Okanogan,no,yes,2,1,0,0,0,0
Okanogan-Davis Canyon,Okanogan 16-1,Okanogan,no,yes,2,3,,,,
Okanogan-Talant Creek,Okanogan 16-10,Okanogan,no,yes,2,3,,,,
Okanogan-Talant Creek,Okanogan 16-11,Okanogan,no,yes,2,3,,,,
