"ReachName","Assessment.Unit","Basin","Confinement_Score","Spring.Chinook.Reach","Steelhead.Reach","SPCHN Number of Life Stages","SH Number of Life Stages","SPCHNTier_Restoration","SPCHNTier_Protection","STLTier_Restoration","STLTier_Protection","HQ_Pct","HQ_Score_Restoration","HQ_Score_Protection","BankStability_score","ChannelStability_score","Stability_Mean","CoarseSubstrate_score","Cover-Wood_score","Flow-SummerBaseFlow_score","FloodplainConnectivity_score","Off-Channel/Side-Channels_score","PoolQuantity&Quality_score","Riparian-Disturbance_score","Riparian-CanopyCover_score","Riparian_Mean","Temperature-Rearing_score"
"Aeneas 16-1","Aeneas Creek-DS","Okanogan",5,"no","yes","0","6","Not a Priority","Not a Priority","2","2",0,5,1,1,1,1,3,1,1,NA,"NA",NA,1,NA,1,1
"Aeneas 16-2","Aeneas Creek-DS","Okanogan",5,"no","yes","0","6","Not a Priority","Not a Priority","2","2",0,5,1,5,5,5,NA,5,0,NA,"NA",1,1,NA,1,1
"Alder Creek 01","Lower Chiwawa River","Wenatchee",5,"yes","yes","3","6","1","1","2","2",NA,NA,NA,NA,NA,NA,5,1,5,3,"1",3,NA,NA,NA,1
"Alder Creek 02","Lower Chiwawa River","Wenatchee",1,"yes","yes","2","3","1","1","2","2",NA,NA,NA,NA,NA,NA,5,1,5,3,"1",5,1,NA,1,5
"Andrews Creek 01","Andrews Creek","Methow",5,"yes","yes","2","2","Not a Priority","Not a Priority","Not a Priority","Not a Priority",0.6,5,1,3,1,2,5,3,3,3,"1",3,3,1,2,5
"Antoine 16-1","Antoine Creek-Lower","Okanogan",5,"no","yes","0","6","Not a Priority","Not a Priority","1","1",0.289503418718569,5,1,3,3,3,3,1,1,NA,"NA",1,1,NA,1,1
"Antoine 16-2","Antoine Creek-Lower","Okanogan",1,"no","yes","0","6","Not a Priority","Not a Priority","1","1",0.0992032395595723,5,1,5,5,5,3,1,1,NA,"NA",1,1,NA,1,1
"Antoine 16-3","Antoine Creek-Lower","Okanogan",5,"no","yes","0","6","Not a Priority","Not a Priority","1","1",0.0814431770666794,5,1,5,5,5,3,3,1,NA,"NA",NA,1,NA,1,1
"Antoine 16-4","Antoine Creek-Lower","Okanogan",5,"no","yes","0","6","Not a Priority","Not a Priority","1","1",0.0634915212976588,5,1,5,5,5,3,5,1,NA,"NA",NA,1,NA,1,1
"Antoine 16-5","Antoine Creek-Lower","Okanogan",5,"no","yes","0","6","Not a Priority","Not a Priority","1","1",0.0947505790038091,5,1,5,5,5,3,1,1,NA,"NA",NA,1,NA,1,1
"Antoine 16-6","Antoine Creek-Lower","Okanogan",5,"no","yes","0","6","Not a Priority","Not a Priority","1","1",0.0547475840973595,5,1,5,5,5,3,3,1,NA,"NA",NA,1,NA,1,1
"Bear Creek 01","Bear Creek","Methow",5,"no","yes","0","3","Not a Priority","Not a Priority","Not a Priority","Not a Priority",NA,NA,NA,1,1,1,NA,NA,1,1,"1",NA,NA,NA,NA,5
"Bear Creek 02","Bear Creek","Methow",5,"no","no","0","0","Not a Priority","Not a Priority","Not a Priority","Not a Priority",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"NA",NA,NA,NA,NA,5
"Bear Creek 03","Bear Creek","Methow",5,"no","no","0","0","Not a Priority","Not a Priority","Not a Priority","Not a Priority",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"NA",NA,NA,NA,NA,5
"Bear Creek 04","Bear Creek","Methow",5,"no","no","0","0","Not a Priority","Not a Priority","Not a Priority","Not a Priority",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"NA",NA,NA,NA,NA,5
"Bear Creek 05","Bear Creek","Methow",5,"no","no","0","0","Not a Priority","Not a Priority","Not a Priority","Not a Priority",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"NA",NA,NA,NA,NA,5
"Bear Creek 06","Bear Creek","Methow",5,"no","no","0","0","Not a Priority","Not a Priority","Not a Priority","Not a Priority",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"NA",NA,NA,NA,NA,5
"Beaver Creek 01","Wenatchee River-Beaver Creek","Wenatchee",5,"yes","yes","1","7","1","2","1","2",NA,NA,NA,1,1,1,1,NA,1,1,"1",NA,NA,NA,NA,1
"Beaver Creek 02","Wenatchee River-Beaver Creek","Wenatchee",5,"yes","yes","1","3","1","2","1","2",NA,NA,NA,NA,NA,NA,1,1,1,NA,"1",1,1,NA,1,5
"Beaver Creek Lower 01","Lower Beaver Creek","Methow",5,"yes","yes","4","6","2","2","2","2",0.2,5,1,1,1,1,1,1,1,1,"1",1,1,1,1,1
"Beaver Creek Lower 02","Lower Beaver Creek","Methow",5,"yes","yes","4","6","2","2","2","2",0.4,5,1,3,1,2,1,1,1,3,"3",1,1,1,1,5
"Beaver Creek Lower 03","Lower Beaver Creek","Methow",5,"yes","yes","4","6","2","2","2","2",0.4,5,1,3,1,2,1,1,1,3,"3",1,1,1,1,5
"Beaver Creek Lower 04","Lower Beaver Creek","Methow",5,"yes","yes","4","6","2","2","2","2",0.444444444444444,5,1,3,1,2,1,1,3,3,"3",1,1,1,1,5
