"Assessment.Unit","ReachName","Basin","Spring.Chinook.Reach","Steelhead.Reach","AU Restoration Rank","AU Protection Rank"
"Aeneas Creek-DS","Aeneas 16-1","Okanogan","no","yes",2,2
"Aeneas Creek-DS","Aeneas 16-2","Okanogan","no","yes",2,2
"Antoine Creek-Lower","Antoine 16-1","Okanogan","no","yes",1,1
"Antoine Creek-Lower","Antoine 16-2","Okanogan","no","yes",1,1
"Antoine Creek-Lower","Antoine 16-3","Okanogan","no","yes",1,1
"Antoine Creek-Lower","Antoine 16-4","Okanogan","no","yes",1,1
"Antoine Creek-Lower","Antoine 16-5","Okanogan","no","yes",1,1
"Antoine Creek-Lower","Antoine 16-6","Okanogan","no","yes",1,1
"Bonaparte Creek-Lower DS","Bonaparte 16-1","Okanogan","no","yes",2,1
"Chiliwist Creek","Chiliwist 16-1","Okanogan","no","yes",NA,NA
"Johnson Creek","Johnson 16-1","Okanogan","no","yes",1,2
"Johnson Creek","Johnson 16-2","Okanogan","no","no",1,2
"Johnson Creek","Johnson 16-3","Okanogan","no","no",1,2
"Johnson Creek","Johnson 16-4","Okanogan","no","no",1,2
"Johnson Creek","Johnson 16-5","Okanogan","no","no",1,2
"Johnson Creek","Johnson 16-6","Okanogan","no","no",1,2
"Johnson Creek","Johnson 16-7","Okanogan","no","no",1,2
"Johnson Creek","Johnson 16-8","Okanogan","no","no",1,2
"Johnson Creek","Johnson 16-9","Okanogan","no","no",1,2
"Loup Loup Creek-Lower DS","Loup Loup 16-1","Okanogan","no","yes",1,1
"Loup Loup Creek-Lower DS","Loup Loup 16-2","Okanogan","no","yes",1,1
"Loup Loup Creek-Lower DS","Loup Loup 16-3","Okanogan","no","yes",1,1
"Ninemile Creek DS","Ninemile 16-1","Okanogan","no","yes",2,2
"Ninemile Creek DS","Ninemile 16-2","Okanogan","no","yes",2,2
"Ninemile Creek DS","Ninemile 16-3","Okanogan","no","yes",2,2
"Ninemile Creek DS","Ninemile 16-4","Okanogan","no","yes",2,2
"Ninemile Creek DS","Ninemile 16-5","Okanogan","no","yes",2,2
"Okanogan-Alkali Lake","Okanogan 16-24","Okanogan","no","yes",2,3
"Okanogan-Alkali Lake","Okanogan 16-25","Okanogan","no","yes",2,3
"Okanogan-Davis Canyon","Okanogan 16-5","Okanogan","no","yes",2,3
"Okanogan-Davis Canyon","Okanogan 16-6","Okanogan","no","yes",2,3
"Okanogan-Davis Canyon","Okanogan 16-7","Okanogan","no","yes",2,3
"Okanogan-Davis Canyon","Okanogan 16-8","Okanogan","no","yes",2,3
"Okanogan-Davis Canyon","Okanogan 16-1","Okanogan","no","yes",2,3
"Okanogan-Davis Canyon","Okanogan 16-4","Okanogan","no","yes",2,3
"Okanogan-Davis Canyon","Okanogan 16-3","Okanogan","no","yes",2,3
"Okanogan-Davis Canyon","Okanogan 16-2","Okanogan","no","yes",2,3
"Okanogan-Haynes Creek North","Okanagan 16-48","Okanogan","no","yes",2,1
"Okanogan-Haynes Creek North","Okanogan 16-46","Okanogan","no","yes",2,1
"Okanogan-Haynes Creek North","Okanogan 16-47","Okanogan","no","yes",2,1
"Okanogan-Haynes Creek South","Okanogan 16-45","Okanogan","no","yes",2,2
"Okanogan-Haynes Creek South","Okanogan 16-43","Okanogan","no","yes",2,2
"Okanogan-Haynes Creek South","Okanogan 16-44","Okanogan","no","yes",2,2
"Okanogan-Haynes Creek South","Okanogan Crosschannel 16-1","Okanogan","no","yes",2,2
"Okanogan-Mosquito Creek","Okanogan 16-41","Okanogan","no","yes",2,2
"Okanogan-Mosquito Creek","Okanogan 16-42","Okanogan","no","yes",2,2
"Okanogan-Mosquito Creek","Okanogan 16-35","Okanogan","no","yes",2,2
"Okanogan-Mosquito Creek","Okanogan 16-40","Okanogan","no","yes",2,2
"Okanogan-Mosquito Creek","Okanogan 16-37","Okanogan","no","yes",2,2
"Okanogan-Mosquito Creek","Okanogan 16-34","Okanogan","no","yes",2,2
