Reach Name,Basin,Assessment Unit,Priority Actions,Reach Rank,Priority Species,Priority Life Stages,Unacceptable Limiting Factors,At-Risk Limiting Factors,Action Categories,Updated
Icicle Creek Lower 05,Wenatchee,Lower Icicle Creek,Address Limiting Factors,Not Ranked,Steelhead,Adult Migration,No Unacceptable Limiting Factors,Flow- Summer Base Flow,"Channel Modification, Instream Flow Enhancement, Upland Management",27.Jan.2023
Icicle Creek Lower 08,Wenatchee,Lower Icicle Creek,Address Limiting Factors,Not Ranked,Steelhead,Adult Migration,No Unacceptable Limiting Factors,Flow- Summer Base Flow,"Channel Modification, Instream Flow Enhancement, Upland Management",27.Jan.2024
Roaring Creek Entiat 01,Entiat,Roaring Creek,Address Limiting Factors,Not Ranked,Steelhead,Adult Migration,Flow- Summer Base Flow,No At-Risk Limiting Factors,"Channel Modification, Instream Flow Enhancement, Upland Management",27.Jan.2025
Roaring Creek Entiat 02,Entiat,Roaring Creek,Address Limiting Factors,Not Ranked,Steelhead,Adult Migration,Flow- Summer Base Flow,No At-Risk Limiting Factors,"Channel Modification, Instream Flow Enhancement, Upland Management",27.Jan.2026
Roaring Creek Entiat 03,Entiat,Roaring Creek,Address Limiting Factors,Not Ranked,Steelhead,Adult Migration,Flow- Summer Base Flow,No At-Risk Limiting Factors,"Channel Modification, Instream Flow Enhancement, Upland Management",27.Jan.2027
Icicle Creek Lower 04,Wenatchee,Lower Icicle Creek,"Address Limiting Factors, Restore Fish Passage",1,"Spring Chinook, Steelhead, Bull Trout","Adult Migration,Adult Non-Spawning,Holding and Maturation","Flow- Summer Base Flow,Temperature- Adult Holding",Temperature- Rearing,"Channel Modification, Instream Flow Enhancement, Upland Management, Water Quality Improvement",27.Jan.2028
Icicle Creek Lower 01,Wenatchee,Lower Icicle Creek,Address Limiting Factors,Not Ranked,"Steelhead, Bull Trout","Adult Migration,Adult Non-Spawning,Holding and Maturation","Flow- Summer Base Flow,Temperature- Rearing,Temperature- Adult Holding",No At-Risk Limiting Factors,"Channel Modification, Instream Flow Enhancement, Upland Management, Water Quality Improvement",27.Jan.2029
Icicle Creek Lower 02,Wenatchee,Lower Icicle Creek,Address Limiting Factors,Not Ranked,"Steelhead, Bull Trout","Adult Migration,Adult Non-Spawning,Holding and Maturation","Flow- Summer Base Flow,Temperature- Adult Holding",Temperature- Rearing,"Channel Modification, Instream Flow Enhancement, Upland Management, Water Quality Improvement",27.Jan.2030
Icicle Creek Lower 03,Wenatchee,Lower Icicle Creek,Address Limiting Factors,Not Ranked,"Steelhead, Bull Trout","Adult Migration,Adult Non-Spawning,Holding and Maturation","Flow- Summer Base Flow,Temperature- Adult Holding",Temperature- Rearing,"Channel Modification, Instream Flow Enhancement, Upland Management, Water Quality Improvement",27.Jan.2031
Tronsen Creek 02,Wenatchee,Upper Peshastin Creek,Address Limiting Factors,Not Ranked,"Steelhead, Bull Trout","Adult Migration,BT Natal Rearing",Temperature- Rearing,"Flow- Summer Base Flow,Cover- Wood","Channel Complexity Restoration, Channel Modification, Instream Flow Enhancement, Riparian Restoration and Management, Upland Management, Water Quality Improvement",27.Jan.2032
Johnson 16-1,Okanogan,Johnson Creek,"Restore Reach Function, Address Limiting Factors",1,Steelhead,"Adult Migration,Spawning and Incubation","Bank Stability,Channel Stability,Stability,Cover- Wood,Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,PRCNT Fines and Embeddedness","Coarse Substrate,Pool Quantity and Quality,Coarse Substrate","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2033
Peshastin Creek Upper 07,Wenatchee,Upper Peshastin Creek,Address Limiting Factors,Not Ranked,"Steelhead, Bull Trout","Adult Migration,Spawning and Incubation,BT Natal Rearing","Brook Trout,Cover- Wood,Temperature- Rearing","Flow- Summer Base Flow,Floodplain Connectivity","Brook Trout Management, Channel Complexity Restoration, Channel Modification, Instream Flow Enhancement, Riparian Restoration and Management, Upland Management, Water Quality Improvement",27.Jan.2034
Loup Loup 16-2,Okanogan,Loup Loup Creek-Lower DS,"Restore Reach Function, Address Limiting Factors, Restore Fish Passage",1,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing","Cover- Wood,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,PRCNT Fines and Embeddedness,Cover- Wood,Temperature- Rearing,Pool Quantity and Quality","Coarse Substrate,Coarse Substrate","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2035
Loup Loup 16-3,Okanogan,Loup Loup Creek-Lower DS,"Restore Reach Function, Address Limiting Factors",1,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing","Cover- Wood,Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,Cover- Wood,Temperature- Rearing","Coarse Substrate,Coarse Substrate","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2036
Loup Loup 16-1,Okanogan,Loup Loup Creek-Lower DS,"Restore Reach Function, Address Limiting Factors",2,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing","Bank Stability,Channel Stability,Stability,Cover- Wood,Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,PRCNT Fines and Embeddedness,Cover- Wood,Temperature- Rearing","Coarse Substrate,Pool Quantity and Quality,Coarse Substrate,Pool Quantity and Quality","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2037
Antoine 16-2,Okanogan,Antoine Creek-Lower,Address Limiting Factors,1,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,PRCNT Fines and Embeddedness,Pool Quantity and Quality,Cover- Wood,Temperature- Rearing",Coarse Substrate,"Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Instream Flow Enhancement, Riparian Restoration and Management, Upland Management, Water Quality Improvement",27.Jan.2038
Antoine 16-3,Okanogan,Antoine Creek-Lower,"Restore Reach Function, Address Limiting Factors",1,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,PRCNT Fines and Embeddedness,Temperature- Rearing","Coarse Substrate,Cover- Wood,Coarse Substrate,Cover- Wood","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2039
Antoine 16-6,Okanogan,Antoine Creek-Lower,"Restore Reach Function, Address Limiting Factors, Restore Fish Passage",1,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,Temperature- Rearing","Coarse Substrate,Cover- Wood,Coarse Substrate,Cover- Wood","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2040
Omak 16-4,Okanogan,Omak Creek-Lower US,"Restore Reach Function, Address Limiting Factors",1,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,Temperature- Rearing,Pool Quantity and Quality","Coarse Substrate,Coarse Substrate","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2041
Omak 16-5,Okanogan,Omak Creek-Lower US,"Restore Reach Function, Address Limiting Factors",1,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,PRCNT Fines and Embeddedness,Temperature- Rearing","Coarse Substrate,Pool Quantity and Quality,Coarse Substrate,Pool Quantity and Quality","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2042
Omak 16-7,Okanogan,Omak Creek-Lower US,"Restore Reach Function, Address Limiting Factors",1,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,PRCNT Fines and Embeddedness,Temperature- Rearing,Pool Quantity and Quality","Coarse Substrate,Coarse Substrate","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2043
Omak 16-8,Okanogan,Omak Creek-Lower US,"Restore Reach Function, Address Limiting Factors",1,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,PRCNT Fines and Embeddedness,Temperature- Rearing","Coarse Substrate,Pool Quantity and Quality,Coarse Substrate,Pool Quantity and Quality","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2044
Salmon 16-1,Okanogan,Salmon Creek-Lower,"Restore Reach Function, Address Limiting Factors",1,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,Temperature- Rearing,Pool Quantity and Quality","Coarse Substrate,Coarse Substrate","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2045
Salmon 16-13,Okanogan,Salmon Creek-Lower,"Restore Reach Function, Address Limiting Factors",1,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,Flow- Scour,Temperature- Rearing","Coarse Substrate,Coarse Substrate","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2046
Salmon 16-2,Okanogan,Salmon Creek-Lower,Address Limiting Factors,1,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,Temperature- Rearing","Coarse Substrate,Food- Food Web Resources,Cover- Wood","Channel Complexity Restoration, Channel Modification, Enhance Food Resources, Fine Sediment Management, Instream Flow Enhancement, Riparian Restoration and Management, Upland Management, Water Quality Improvement",27.Jan.2047
Salmon 16-3,Okanogan,Salmon Creek-Lower,"Restore Reach Function, Address Limiting Factors",1,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,PRCNT Fines and Embeddedness,Temperature- Rearing","Coarse Substrate,Pool Quantity and Quality,Coarse Substrate,Flow- Scour,Pool Quantity and Quality","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2048
Salmon 16-4,Okanogan,Salmon Creek-Lower,"Restore Reach Function, Address Limiting Factors, Restore Fish Passage",1,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,PRCNT Fines and Embeddedness,Temperature- Rearing","Coarse Substrate,Cover- Wood,Coarse Substrate,Cover- Wood","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2049
Salmon 16-6,Okanogan,Salmon Creek-Lower,"Restore Reach Function, Address Limiting Factors",1,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,Temperature- Rearing","Coarse Substrate,Coarse Substrate,PRCNT Fines and Embeddedness","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2050
Salmon 16-7,Okanogan,Salmon Creek-Lower,"Restore Reach Function, Address Limiting Factors",1,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,PRCNT Fines and Embeddedness,Temperature- Rearing","Coarse Substrate,Coarse Substrate","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2051
Antoine 16-4,Okanogan,Antoine Creek-Lower,"Restore Reach Function, Address Limiting Factors",2,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,Temperature- Rearing","Coarse Substrate,Coarse Substrate","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2052
Antoine 16-5,Okanogan,Antoine Creek-Lower,"Restore Reach Function, Address Limiting Factors",2,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Cover- Wood,Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,Temperature- Rearing,Cover- Wood","Coarse Substrate,Coarse Substrate","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2053
Omak 16-10,Okanogan,Omak Creek-Lower US,Address Limiting Factors,2,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,PRCNT Fines and Embeddedness,Temperature- Rearing",Coarse Substrate,"Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Instream Flow Enhancement, Upland Management, Water Quality Improvement",27.Jan.2054
Omak 16-3,Okanogan,Omak Creek-Lower US,"Restore Reach Function, Address Limiting Factors",2,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,Temperature- Rearing","Coarse Substrate,PRCNT Fines and Embeddedness,Coarse Substrate,Food- Food Web Resources","Bank Restoration, Channel Complexity Restoration, Channel Modification, Enhance Food Resources, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2055
Omak 16-9,Okanogan,Omak Creek-Lower US,"Restore Reach Function, Address Limiting Factors",2,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,PRCNT Fines and Embeddedness,Temperature- Rearing","Coarse Substrate,Coarse Substrate","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2056
Salmon 16-10,Okanogan,Salmon Creek-Lower,"Restore Reach Function, Address Limiting Factors",2,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,Temperature- Rearing,Flow- Summer Base Flow,Flow- Scour,PRCNT Fines and Embeddedness,Temperature- Rearing","Coarse Substrate,Cover- Wood,Riparian-Canopy Cover,Riparian,Coarse Substrate,Food- Food Web Resources,Cover- Wood","Bank Restoration, Channel Complexity Restoration, Channel Modification, Enhance Food Resources, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2057
Salmon 16-5,Okanogan,Salmon Creek-Lower,"Restore Reach Function, Address Limiting Factors",2,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,PRCNT Fines and Embeddedness,Temperature- Rearing","Coarse Substrate,Pool Quantity and Quality,Coarse Substrate,Pool Quantity and Quality","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2058
Salmon 16-8,Okanogan,Salmon Creek-Lower,"Restore Reach Function, Address Limiting Factors",2,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,PRCNT Fines and Embeddedness,Temperature- Rearing","Coarse Substrate,Cover- Wood,Coarse Substrate,Cover- Wood","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2059
